"Data Source","World Development Indicators",

"Last Updated Date","2021-03-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","411173184.357542","392737430.167598","463128491.620112","527932960.893855","531843575.418994","477653631.284916","455307262.569832","522346368.715084","590502793.296089","641340782.122905","782681564.24581","852513966.480447","850279329.608939","912849162.011173","756983240.223464","691620111.731844","726815642.458101","675418994.413408","641340782.122905","643575418.994413","629608938.547486","634636871.50838","635754189.944134","","","",
"Afghanistan","AFG","Gross capital formation (current US$)","NE.GDI.TOTL.CD","86666711.1111111","91111155.5555556","104444506.666667","106666724.444444","111111155.555556","113333340","117777771.111111","86666666.6666667","88888888.8888889","91111111.1111111","95555562.2222222","99999993.3333333","104444451.111111","126666660","188888882.222222","231111111.111111","348888882.222222","366666660","457777788.888889","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","","","","","","","","","","2783907339.68352","2724893475.80685","4661062894.26651","5424166591.82938","7276093050.87059","10187920710.5167","12205178422.7822","16793436245.618","27273480876.5163","30106131295.0502","23629203640.253","29539702140.2079","34148595723.1743","35740017532.4265","40071528089.8533","39741120210.0271","27520561236.2242","29468850296.5356","18111235660.8928","","",
"Albania","ALB","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","611538478.631747","643706276.120605","671875012.5","612875012.5","614499962.5","740750012.5","615888125","83600694.4444444","36891479.0257555","162105372.688304","355435600.956635","509144791.391354","577976514.585321","376257327.880027","502639653.347446","633902317.161477","1071819204.48864","1372290895.16915","1533305461.74018","1902121187.28198","2456928760.52151","2968773399.09863","3175677295.58812","3679616246.7557","4608747166.08697","4162222659.74998","3614892525.93165","4049454982.26884","3490029043.05804","3584052874.44213","3396283655.66932","2939973023.54605","2991852105.44334","3261763224.18136","3650587280.95032","","",
"Andorra","AND","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","60338365757.2536","72006614484.6313","86948975762.2757","92448820268.3535","115851160547.362","120641447808.69","125617380374.819","133928476433.126","128551625337.504","106209540918.068","101291165018.756","91490440901.2996","88295764143.8553","94063755173.2424","100274376136.189","104066937057.226","113890637730.574","118660246083.71","112410210922.502","117607301365.355","121190624090.629","123659657916.069","140766909923.738","137173052019.407","142999501604.434","147531298355.726","154475217471.315","178491048682.94","211634343500.223","259623711617.726","323540804053.622","434508946669.756","571412590314.609","527765151058.738","577495693309.371","631504075511.378","667532565154.764","721695272504.26","768423965131.029","744428656445.908","730848406586.531","716823815554.987","721664521083.685","769859426340.674","",
"United Arab Emirates","ARE","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23247802287.2703","24758811082.369","27517552893.1246","29533120000","36424851681.4159","42802745377.808","64992757985.0238","79178107855.6841","80206027365.5548","78593555308.7199","81219427151.2379","81978431087.9227","75126823345.7797","89369188619.9774","91822890167.9965","92902151853.9153","97541306147.5151","99269102580.7526","100370078773.964","",
"Argentina","ARG","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","5313345058.38326","3338843016.44164","5498448879.20396","6357058745.58187","5881428621.0885","5146060702.23671","5734285805.39451","7498571825.73388","7719211096.5115","8027999890.81471","8298250320.65817","10978444355.8423","16124666971.2541","15438486959.3817","15724100557.6079","17569000350.9151","16147130586.8274","17906415044.079","19438878223.106","17852632104.7179","18341049876.2973","21718898273.9138","15790000398.889","15551667059.5348","19371110817.4477","21726666839.1419","23524999816.2601","11889983497.8928","19785065005.7631","27769271211.3267","38213203210.1757","46609970270.2703","51399500500","47736933000","53406319800","60990966300","62691747400","50645509000","49830828800","41986461000","10606870818.4831","18049680786.0707","28899558549.9966","37537987445.4148","43442829424.3763","57791082382.3567","70766944271.4722","53453089198.9967","75005496430.9387","97541873555.3879","90097938093.7597","95532250251.422","90857938989.9083","101527895313.53","98478037375.8317","117221303021.594","83063054822.6386","64782625812.6302","",
"Armenia","ARM","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1064047261.41705","822842147.626111","20759024.8815346","118596078.276352","367483712.715188","305535833.982308","336887733.362285","381439049.47387","429617443.012884","383285988.367205","419059321.683778","485221417.504414","604023894.654225","795744250.738635","1041601837.09813","1752674590.42415","2695863911.29323","4083144220.15259","5591113032.87191","3558197968.36243","3594356909.54757","3237544392.51019","2620949363.30781","2463681600.05586","2470857362.40496","2187762845.65793","1899939894.46567","2123558470.35651","2790546512.65591","2385573918.8515","",
"American Samoa","ASM","Gross capital formation (current US$)","NE.GDI.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
