"Data Source","World Development Indicators",

"Last Updated Date","2021-03-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","666480446.927374","737430167.597765","763687150.837989","837988826.815642","894972067.039106","925139664.804469","956424581.005587","1017318435.75419","1087709497.2067","1148603351.95531","1228491620.11173","1320111731.84358","1476536312.84916","1517318435.75419","1420111731.84358","1445251396.64804","1567597765.36313","1582681564.24581","1807262569.8324","1824581005.58659","1811173184.35754","1819553072.6257","1858100558.65922","","","",
"Afghanistan","AFG","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","466666655.555556","477777737.777778","466666655.555556","702222244.444444","762222182.222222","995555555.555556","1422222222.22222","1711111100","1371111151.11111","1386666666.66667","1691108966.66667","1826664357.77778","1544444495.55556","1637777771.11111","1984444462.22222","2173333413.33333","2248888957.77778","2680000057.77778","2942222153.33333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3923830541.43867","6344721595.58192","7651123296.55807","9800829289.43015","11813247268.5009","15215079117.2119","20220191093.0161","25495565974.6193","29678121205.3217","29998335860.5614","37988814786.4263","45343032164.7044","51338441412.6647","64793469847.1248","61285178783.7319","56655442161.7486","69833448902.4567","57124166977.8455","51184285760.4917","",
"Albania","ALB","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","1169370651.42459","1182331059.46525","1309162500","1337825025","1370649987.5","1453374975","1271486850","1036054826.38889","1079374622.9967","1468051508.63442","1903197900.5171","2191517724.85774","3012060414.03307","2211622358.55487","2408897856.57581","2779681390.29689","2879465029.72057","3067457886.67688","3479963078.44833","4507740317.46189","5547255007.76269","6195705830.46211","6905407967.51183","8730513480.90578","10703597132.5926","9734054482.03323","9316035625.52977","10093393382.0833","9605385999.06456","10224729627.9332","10686670458.8548","9188594628.3672","9602956280.08136","10364718723.7615","11949241220.4183","12260690474.7999","",
"Andorra","AND","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","16255392295.277","17820220870.4279","20278720902.039","22398620543.7503","25646771658.5175","29746946859.472","37127211133.9977","50373385789.8333","59362728765.9679","78467728168.8907","90764724451.7375","111987033421.304","133461573916.828","147777985493.786","166977528486.725","172731097482.213","182134092670.607","189854206495.544","194025929064.117","203444969877.795","201388901908.577","223629571165.085","266317537891.169","262093009177.594","272888155425.324","294196248442.22","297714749887.455","319786859602.872","342985020090.578","360047118057.537","366992722784.196","373899294503.236","378083824466.739","378420168024.661","382180237193.922","403826717439.078","453894575095.24","509400123002.634","591207630312.77","713569942533.006","859908714045.916","872024205917.199","917877765769.599","999607708277.836","1109309005720.36","1210338446344.74","1305515889256.32","1302627779518.37","1325676405384.82","1293047779197.29","1349190034177.05","1423262092637.37","",
"United Arab Emirates","ARE","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61087656609.9387","67397163131.3819","72834474935.3302","89820739523.4854","101764918093.941","124444700830.497","155001863144.997","184183067283.867","132573846752.893","122407762710.849","134648842770.612","120397631632.769","132394564081.514","146219333357.715","126824784000.634","129233917678.194","143857529502.466","161715988655.681","163876341648.369","",
"Argentina","ARG","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","16395100920.6536","13112305455.0693","17583550655.2055","19106470077.1627","19179524090.076","16142121567.5792","17818286029.1255","20788000652.075","20514474652.8526","22087199393.1043","23061625752.1497","34502333869.7978","46339887781.9045","30479729906.697","28960251673.5518","32792999466.8785","33769836090.145","43597131259.9852","","","","","","","","83810953046.2784","93037499273.339","56337114317.025","109038330772.079","152618772836.917","187278415202.907","163839382682.683","180006952200","176908603000","186487153500","203028516700","206433800000","198869454200","197044177500","185164262200","60489618364.2844","80632168516.4444","105926917928.179","125262782955.786","147139416222.713","179796371906.655","228051225933.264","209702422221.036","272113324478.662","340472562735.7","354361120355.997","364267951166.433","344124011884.784","391974496653.948","366420165961.974","429555024997.104","340833230639.719","287820839445.816","",
"Armenia","ARM","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1097242665.01944","1184944606.91268","1198033684.9616","1121936841.55067","1240030797.111","1558290669.99803","1601936977.85618","1692914777.14486","1891036669.97027","1772487205.78507","1952969825.53723","2084836594.24206","2226637132.64149","2459315444.82264","3103200112.4754","3892154877.05678","4852783287.39228","6937584318.94845","8780604857.87141","7311605295.37141","7987633426.59981","8925575750.28678","9119853944.10649","9652153905.3824","9931611575.11616","8222722419.29217","8047086900.36509","9225424286.39259","9941548432.16569","11408527217.782","",
"American Samoa","ASM","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","312000000","332000000","357000000","367000000","375000000","383000000","407000000","398000000","402000000","414000000","424000000","447000000","455000000","443000000","446000000","459000000","472000000","","",
